index,COMM_CODE,CLASS,CLASS_CODE,NAME,SECTOR,SRG,COMM_STRUCTURE,CREATED_DT,MODIFIED_DT,RE_VALUE,RE_AREA,RE_UNIT_PRICE,NR_VALUE,NR_AREA,NR_UNIT_PRICE,FL_VALUE,FL_AREA,FL_UNIT_PRICE,attaction,commu_center,court,elementary,hospital,juniorhigh,library,phs_clinic,seniorhigh,social_dev_ctr,visitor_info,MALE,FEMALE,English,Eng_not_spk_oft_home,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,total_crime_counts,total_disorder_counts
223,FAL,Residential,1,FALCONRIDGE,NORTHEAST,ESTABLISHED,1980s/1990s,2016/12/21,2023/07/31,305400.462962963,383.8560606060606,795.6119345381024,2541225.4901960786,7300.882352941177,348.07100941331294,NULL,NULL,NULL,0,1,0,4,0,3,0,0,2,0,0,"1,091.00","1,168.00",6085,3585,0,"Punjabi (Panjabi)",845,0.08,Urdu,420,0.04,"Tagalog (Pilipino, Filipino)",350,0.03,375,1159
233,GLA,Residential,1,GLAMORGAN,WEST,ESTABLISHED,1950s,2016/12/21,2024/01/03,530092.5,548.7544166666667,965.9922251195244,2670486.4864864866,8691.124324324324,307.2659401514313,NULL,NULL,NULL,0,1,0,2,0,1,0,0,0,0,0,226,196,5115,785,0,Arabic,165,0.03,Russian,80,0.01,Korean,70,0.01,182,390
302,GPK,"Major Park",3,"GLENMORE PARK",SOUTH,NULL,PARKS,2016/12/21,2024/02/21,NULL,NULL,NULL,8295151.785714285,331757.3857142857,25.00366877395818,NULL,NULL,NULL,1,0,0,1,0,1,0,0,0,0,0,NULL,NULL,0,0,0,0,0,0,0,0,0,0,0,0,25,42
3,MRT,Residential,1,MARTINDALE,NORTHEAST,ESTABLISHED,1980s/1990s,2016/12/21,2020/10/22,357670.2568351284,338.42612537972934,1056.8636107327893,4542955.555555556,11323.7,401.1900311343073,NULL,NULL,NULL,0,0,0,3,0,1,1,0,1,0,0,"5,827.00","5,926.00",5505,7405,11753,"Punjabi (Panjabi)",4240,0.28,"Tagalog (Pilipino, Filipino)",720,0.05,Urdu,470,0.03,327,566
38,NHV,Residential,1,"NORTH HAVEN",NORTH,ESTABLISHED,1960s/1970s,2016/12/21,2020/10/22,494264.7849462366,530.0244623655914,932.5320245413708,1095972.2222222222,6171.755555555556,177.5786828167026,NULL,NULL,NULL,0,1,0,1,0,0,0,0,0,0,0,846,841,2195,155,1687,Mandarin,35,0.01,"Tagalog (Pilipino, Filipino)",25,0.01,Burmese,15,0.01,44,84
57,QLD,Residential,1,QUEENSLAND,SOUTH,ESTABLISHED,1960s/1970s,2016/12/21,2022/12/23,372865.07936507935,512.6542568542569,727.3227021522258,1741047.619047619,11892.642857142857,146.39703217875797,NULL,NULL,NULL,0,1,0,2,0,1,0,0,0,0,0,"2,187.00","2,480.00",4170,355,4667,"Tagalog (Pilipino, Filipino)",70,0.01,Oromo,55,0.01,Cantonese,45,0.01,65,150
74,RDL,Residential,1,ROSEDALE,CENTRE,ESTABLISHED,"INNER CITY",2016/12/21,2023/01/16,1233762.3170731708,570.5381533101046,2162.453658734693,1441294,10147.572,142.0333849318832,NULL,NULL,NULL,0,1,0,1,0,1,0,0,0,0,0,"3,820.00","3,786.00",1545,60,7606,Mandarin,15,0.01,Cantonese,15,0.01,"Persian (Farsi)",10,0.01,37,82
76,RCK,Residential,1,ROSSCARROCK,WEST,ESTABLISHED,1950s,2016/12/21,2023/01/16,572249.269005848,457.4355263157895,1250.9943720698184,3332656.923076923,5074.638461538461,656.7279518207436,NULL,NULL,NULL,0,1,0,1,0,1,1,0,0,0,0,860,933,2520,840,1793,"Tagalog (Pilipino, Filipino)",235,0.07,Tibetan,75,0.02,Arabic,60,0.02,217,639
81,KIN,Residential,1,KINGSLAND,SOUTH,ESTABLISHED,1950s,2016/12/21,2023/01/16,479232.5581395349,546.1970284237726,877.3986916818546,3511941.6666666665,5586.666666666667,628.6291766109784,NULL,NULL,NULL,0,1,0,1,0,1,0,0,0,1,0,"3,974.00","4,067.00",3400,1040,8041,"Tagalog (Pilipino, Filipino)",215,0.05,Korean,130,0.03,Spanish,120,0.03,338,986
87,RAN,Residential,1,RANCHLANDS,NORTHWEST,ESTABLISHED,1960s/1970s,2020/06/23,2023/01/17,418781.914893617,527.528841607565,793.855959832342,1444120.3703703703,11021.65,131.0257874610762,NULL,NULL,NULL,0,1,0,3,0,1,0,1,0,0,0,"3,188.00","3,233.00",6120,1115,6421,Spanish,185,0.02,"Tagalog (Pilipino, Filipino)",105,0.01,Romanian,75,0.01,104,252
