COMM_CODE,CLASS,RE_UNIT_PRICE,has_attraction,commu_center,commu_center_per_person,has_hospital,has_library,has_phs_clinic,schools_per_person,has_social_dev_ctr,MALE,FEMALE,English,Eng_not_spk_oft_home,Eng_ratio,Population,Top_language,Top_language_num,Top_language_per,Top_2_language,Top_2_language_num,Top_2_language_per,Top_3_language,Top_3_language_num,Top_3_language_per,crime_per_person,disorder_per_person
LKB,Residential,1108.007176,0,1,9.67586E-05,0,0,0,0.000483793,0,"5,168.00","5,422.00",9950,385,0.962747944,10335,Cantonese,115,0.01,Spanish,50,0,Mandarin,25,0,0.02399613,0.034155781
MPL,Residential,897.2609039,0,1,0.000506329,0,0,0,0.001518987,0,"3,540.00","3,419.00",1975,0,1,1975,0,0,0,0,0,0,0,0,0,0.031392405,0.049620253
PKL,Residential,939.2498019,0,1,0.000268097,0,0,0,0.00080429,0,"2,610.00","2,734.00",3610,120,0.967828418,3730,Romanian,30,0.01,Dutch,25,0.01,Cantonese,15,0,0.010991957,0.019571046
NGM,Residential,1229.410255,0,1,0.000392927,0,0,0,0.001571709,0,"3,473.00","3,506.00",2460,85,0.966601179,2545,Cantonese,25,0.01,Polish,25,0.01,Russian,10,0,0.025147348,0.038899804
MRL,Residential,697.2403122,0,1,0.000122624,0,0,0,0.000613121,0,"3,802.00","4,092.00",5180,2975,0.635193133,8155,"Tagalog (Pilipino, Filipino)",670,0.07,Arabic,350,0.04,Cantonese,300,0.03,0.046229307,0.146413243
PIN,Residential,708.6185888,0,1,0.000107411,0,1,1,0.000537057,0,747,891,7485,1825,0.803974221,9310,Arabic,285,0.03,Punjabi (Panjabi),235,0.02,"Tagalog (Pilipino, Filipino)",155,0.02,0.037486574,0.108270677
MOR,Residential,960.3682862,0,1,0.000107181,0,0,0,0.000214362,0,NULL,NULL,5085,4245,0.545016077,9330,Punjabi (Panjabi),1330,0.12,Vietnamese,670,0.06,Cantonese,495,0.05,0.017470525,0.042550911
PEN,Residential,646.6438979,0,1,0.000128949,0,0,0,0.000644745,0,282,275,5780,1975,0.745325596,7755,Vietnamese,370,0.04,Arabic,290,0.03,Cantonese,250,0.03,0.035460993,0.104061896
MPK,Residential,690.9056951,0,1,0.000124611,0,0,0,0.000623053,0,NULL,NULL,6150,1875,0.76635514,8025,Arabic,465,0.05,Spanish,220,0.02,Vietnamese,215,0.02,0.036137072,0.101806854
MCK,Residential,1028.533812,0,1,7.38825E-05,0,0,0,0.00029553,0,955,957,12645,890,0.934244551,13535,"Tagalog (Pilipino, Filipino)",120,0.01,Russian,105,0.01,Cantonese,55,0,0.009752494,0.020539342
